GameID,Game time,Result,Champion,Role,KillsPM,DeathsPM,AssistsPM,CSM,GPM,DPM,HPM,DTPM
23705,35.4,WIN,Ornn,TOP,0.02824858757062147,0.05649717514124294,0.22598870056497175,8.2,377,387,166.01694915254237,682.6271186440679
23705,35.4,WIN,Olaf,JUNGLE,0.05649717514124294,0.02824858757062147,0.14124293785310735,6.0,330,281,441.4124293785311,808.8135593220339
23705,35.4,WIN,LeBlanc,MID,0.08474576271186442,0.0,0.22598870056497175,9.2,413,516,326.6666666666667,567.2881355932203
23705,35.4,WIN,Miss Fortune,ADC,0.16949152542372883,0.02824858757062147,0.11299435028248588,10.4,474,441,19.06779661016949,253.6723163841808
23705,35.4,WIN,Yuumi,SUPPORT,0.0,0.0,0.2824858757062147,0.6,221,215,335.4237288135593,87.14689265536724
23705,35.4,LOSS,Sett,TOP,0.05649717514124294,0.08474576271186442,0.02824858757062147,9.3,408,353,82.6271186440678,823.4180790960452
23705,35.4,LOSS,Lee Sin,JUNGLE,0.02824858757062147,0.08474576271186442,0.05649717514124294,4.8,280,128,231.72316384180792,684.6045197740114
23705,35.4,LOSS,Lissandra,MID,0.0,0.02824858757062147,0.08474576271186442,8.6,347,440,151.045197740113,507.8531073446328
23705,35.4,LOSS,Aphelios,ADC,0.02824858757062147,0.08474576271186442,0.02824858757062147,9.8,402,597,62.59887005649718,351.52542372881356
23705,35.4,LOSS,Thresh,SUPPORT,0.0,0.05649717514124294,0.05649717514124294,0.9,196,75,35.98870056497175,281.4124293785311
23706,34.13,LOSS,Aatrox,TOP,0.1171989452094931,0.029299736302373276,0.08789920890711983,8.5,414,347,428.30354526809253,738.9979490184588
23706,34.13,LOSS,Trundle,JUNGLE,0.05859947260474655,0.029299736302373276,0.2636976267213595,4.5,333,177,558.5701728684442,762.7893348959859
23706,34.13,LOSS,Viktor,MID,0.08789920890711983,0.05859947260474655,0.17579841781423966,8.6,408,838,59.771462056841486,331.79021388807496
23706,34.13,LOSS,Miss Fortune,ADC,0.14649868151186637,0.029299736302373276,0.14649868151186637,9.6,466,502,36.5074714327571,263.7855259302666
23706,34.13,LOSS,Leona,SUPPORT,0.0,0.029299736302373276,0.17579841781423966,1.0,248,80,71.43275710518604,386.5514210372106
23706,34.13,WIN,Ornn,TOP,0.05859947260474655,0.05859947260474655,0.05859947260474655,7.9,356,248,38.91004980955171,574.5971286258423
23706,34.13,WIN,Lee Sin,JUNGLE,0.0,0.05859947260474655,0.08789920890711983,5.7,288,195,234.77878699091707,735.2768825080574
23706,34.13,WIN,Azir,MID,0.05859947260474655,0.1171989452094931,0.05859947260474655,8.5,353,357,54.55610899501904,437.6501611485496
23706,34.13,WIN,Aphelios,ADC,0.05859947260474655,0.08789920890711983,0.08789920890711983,8.7,379,592,73.71813653677117,324.963375329622
23706,34.13,WIN,Tahm Kench,SUPPORT,0.0,0.08789920890711983,0.08789920890711983,0.8,187,128,128.80164078523293,482.0978611192499
23707,30.67,LOSS,Renekton,TOP,0.06521030322791001,0.06521030322791001,0.0,8.6,366,108,120.54124551679165,789.7619823932181
23707,30.67,LOSS,Trundle,JUNGLE,0.06521030322791001,0.06521030322791001,0.097815454841865,5.3,332,140,397.84805999347896,931.4965764590805
23707,30.67,LOSS,Azir,MID,0.0,0.06521030322791001,0.032605151613955004,8.6,352,300,34.98532768177372,441.278121943267
23707,30.67,LOSS,Miss Fortune,ADC,0.06521030322791001,0.097815454841865,0.06521030322791001,10.1,406,315,1.8584936419954352,448.2230192370394
23707,30.67,LOSS,Yuumi,SUPPORT,0.0,0.06521030322791001,0.097815454841865,0.7,203,335,451.09227257906747,191.55526573198566
23707,30.67,WIN,Jayce,TOP,0.032605151613955004,0.032605151613955004,0.097815454841865,8.8,374,455,66.35148353439843,307.20573850668404
23707,30.67,WIN,Gragas,JUNGLE,0.032605151613955004,0.097815454841865,0.032605151613955004,4.4,284,266,395.2722530159765,673.4268014346267
23707,30.67,WIN,Corki,MID,0.19563090968373,0.0,0.163025758069775,9.3,460,721,68.50342354091946,379.2631235735246
23707,30.67,WIN,Aphelios,ADC,0.097815454841865,0.032605151613955004,0.19563090968373,10.4,449,512,51.22269318552331,303.5213563743071
23707,30.67,WIN,Braum,SUPPORT,0.0,0.032605151613955004,0.19563090968373,1.0,235,83,187.2513857189436,464.0691229214216
23708,29.92,WIN,Gangplank,TOP,0.03342245989304812,0.10026737967914438,0.20053475935828877,9.2,457,644,109.89304812834224,548.1283422459893
23708,29.92,WIN,Sylas,JUNGLE,0.03342245989304812,0.06684491978609625,0.2339572192513369,6.2,338,276,482.7874331550802,889.1042780748662
23708,29.92,WIN,LeBlanc,MID,0.16711229946524064,0.06684491978609625,0.1336898395721925,7.6,400,419,130.11363636363635,529.6791443850267
23708,29.92,WIN,Aphelios,ADC,0.20053475935828877,0.03342245989304812,0.16711229946524064,9.5,476,597,83.38903743315508,260.96256684491976
23708,29.92,WIN,Thresh,SUPPORT,0.03342245989304812,0.03342245989304812,0.267379679144385,0.9,254,138,63.13502673796791,372.22593582887697
23708,29.92,LOSS,Ornn,TOP,0.03342245989304812,0.06684491978609625,0.06684491978609625,7.4,327,331,95.32085561497325,687.2660427807486
23708,29.92,LOSS,Lee Sin,JUNGLE,0.10026737967914438,0.1336898395721925,0.06684491978609625,6.2,343,233,226.43716577540107,786.9986631016043
23708,29.92,LOSS,Lissandra,MID,0.10026737967914438,0.06684491978609625,0.06684491978609625,9.1,414,428,98.72994652406416,552.3395721925133
